source_file,cpee_instance,concept_instance,last_res_timestamp,0,1,2,3,4,5,6,7,8,At which **pipeline stage** does the error _FIRST_ appear?,feedback_0,"How experienced are you with **debugging** or **reading structured logs** (e.g. JSON, YAML, XML)?",How familiar are you with **Mermaid Diagram Syntax**? [select_2_2],How familiar are you with **Mermaid Diagram Syntax**? [select_2],How familiar are you with the **CPEE process engine**?,How many years of modelling experience do you have?,How many years of programming experience do you have?,"How often do you use **LLM based tools** (e.g. ChatGPT, Copilot)?",input_0,input_1,input_2,Rate your experience with **process modelling**:,select_0,select_1,select_2,select_2_2,select_3,select_4,Were you able to **confidentially identify the error**?,What best describes you **current role**?,What is the **nature** of the error,What is the most likely **cause** for the error?,"Which graphical modeling languages are you familiar with (e.g., UML, ER, etc.)?"
date_2026_04_08_time_11_29.xes.yaml,7bef4848-17a5-4be7-8b7d-172ce6a529f2,8814,2026-04-08T11:31:19.120671+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_31.xes.yaml,75ad4aea-5989-4ca6-8977-3e45224989a1,8816,2026-04-08T11:31:24.268789+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_38.xes.yaml,8c6084a3-4d0c-4e9a-a5bf-e427cfa2b96b,8819,2026-04-08T11:39:20.369973+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_39.xes.yaml,8f441b06-280c-4c68-9bf0-7c50ca86b9de,8822,2026-04-08T11:39:54.955501+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_41.xes.yaml,ac522e5d-c9c6-473a-bc76-295f52c0f33e,8825,2026-04-08T11:41:15.932118+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_42.xes.yaml,6b4a126c-8f50-4284-be3d-4eef4ee16987,8827,2026-04-08T11:42:48.884173+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_43.xes.yaml,81654ba9-3e78-4aa4-9d3a-ad1cc070791a,8829,2026-04-08T11:43:19.654788+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_44.xes.yaml,f859f3a3-ce6d-4495-a50f-54d467f5acf0,8833,2026-04-08T11:44:56.628209+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_45.xes.yaml,f10115b7-7a70-48b3-83b2-ee3470838677,8835,2026-04-08T11:45:58.556520+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_47.xes.yaml,9d4a5494-14c2-4a60-bf97-193d2a859bcd,8837,2026-04-08T11:49:17.532239+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_49.xes.yaml,da1c2d04-6ede-4949-96cb-4326c19a6f8c,8838,2026-04-08T11:50:45.499855+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_50.xes.yaml,55d723d2-3356-4afb-80bd-3995942e23aa,8839,2026-04-08T11:52:16.837149+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_56.xes.yaml,11890ff9-115f-4bf2-9198-744f2a5724ae,8840,2026-04-08T11:58:06.099070+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_58.xes.yaml,71fe1705-71b2-4cd5-9552-72a1a90844ce,8842,2026-04-08T11:58:45.514420+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_59.xes.yaml,4ffc2e2c-7cbd-4b64-aff2-a9a0faad501d,8845,2026-04-08T12:00:25.720013+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_23.xes.yaml,55d23663-599c-4a3b-9255-ed9675f2d4ef,8887,2026-04-09T14:33:27.460914+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_47.xes.yaml,29c0138d-7618-498f-a65d-92c023b941ab,8890,2026-04-09T14:47:26.260328+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_48.xes.yaml,8b226cf4-0882-4963-8d81-154631029304,8892,2026-04-09T14:49:06.348066+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_51.xes.yaml,c34d1a15-33e6-45c8-a66e-80cb29724f11,8893,2026-04-09T14:51:24.367838+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_53.xes.yaml,0afd8796-8058-4891-88da-84d3e4cbb4c7,8894,2026-04-09T14:53:28.114591+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_14_54.xes.yaml,60d91119-fab4-4bde-ae60-7c36f1b10704,8895,2026-04-09T14:54:22.138378+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_09_time_15_00.xes.yaml,a4de2ca9-5f85-4a4b-bdcb-6d92d2259430,8897,2026-04-09T15:01:00.420588+02:00,,,,,,,,,,Input Mermaid,,,,,,,,,,,,,,,,,,,,,Syntax Error,,
date_2026_04_09_time_15_06.xes.yaml,252c9cfc-571c-4884-866f-1368ed3fbd45,8899,2026-04-09T15:06:58.932381+02:00,,,,,,,,,,,,practical experience,somewhat familiar,familiar,somewhat familiar,,,daily,,,,,,,,,,,,Masters student,,,
date_2026_04_09_time_15_08.xes.yaml,242065dc-6ca7-43d2-87b6-d02e873f8577,8900,2026-04-09T15:10:12.898526+02:00,,,,,,,,,,Input Mermaid,,,,,,,,,,,,,,,,,,,No,,Syntax Error,The CPEE-to-Mermaid conversion,
date_2026_04_09_time_15_10.xes.yaml,e602fbd7-e36c-40d9-be45-7b03317db346,8902,2026-04-09T15:10:50.776004+02:00,,,,,,,,,,,,extensive experience,somewhat familiar,not familiar at all,very familiar,,,regularly,,,,,,,,,,,,Postdoctoral Researcher,,,
date_2026_04_09_time_15_12.xes.yaml,b49428ae-f575-4a11-b255-da0aa9d720c7,8907,2026-04-09T15:13:59.331063+02:00,,,,,,,,,,Input CPEE,,,,,,,,,,,,,,,,,,,,,Syntax Error,,
date_2026_04_09_time_15_13.xes.yaml,84b400be-1b85-4b00-b38a-6c379eb816ac,8908,2026-04-09T15:15:26.759444+02:00,,,,,,,,,,Input Mermaid,,,,,,,,,,,,,,,,,,,,,Conversion Error; Structural Error,CPEE-to-Mermaid conversion,
date_2026_04_09_time_15_15.xes.yaml,c7af40ea-4c34-4796-8972-d669e4255f82,8909,2026-04-09T15:16:56.847225+02:00,,,,,,,,,,Output CPEE,,,,,,,,,,,,,,,,,,,,,Conversion Error,Mermaid-to-CPEE conversion,
date_2026_04_09_time_15_17.xes.yaml,303531f9-43c9-404c-aa4b-aacebf7046b8,8911,2026-04-09T15:17:45.651165+02:00,,,,,,,,,,,,,,,,,,,,,,,Postdoctoral Researcher,very familiar,not familiar at all,somewhat familiar,regularly,extensive experience,,,,,
date_2026_04_09_time_15_42.xes.yaml,270960a2-0de7-4139-b566-9cc508ff64d5,8913,2026-04-10T16:13:51.518283+02:00,,,,,,,,,,,,no experience,not familiar at all,not familiar at all,not familiar at all,,,never,,,,,,,,,,,,Bachelors student,,,
